Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Sublette County, WY",Jul-14,$169K,-32.30%,,7,-50.00%,,10,-16.70%,,57,0.00%,,206,81,,,,
"Sublette County, WY",Aug-14,$274K,62.50%,,10,42.90%,,7,-30.00%,,55,-3.50%,,175,-31,,,,
"Sublette County, WY",Sep-14,$169K,-38.40%,,10,0.00%,,9,28.60%,,57,3.60%,,127,-48,,,,
"Sublette County, WY",Oct-14,$210K,24.30%,5.10%,11,10.00%,57.10%,15,66.70%,36.40%,60,5.30%,7.10%,149,22,-26,,,
"Sublette County, WY",Nov-14,$349K,66.20%,125.50%,10,-9.10%,0.00%,5,-66.70%,-58.30%,54,-10.00%,-8.50%,121,-28,-19,,,
"Sublette County, WY",Dec-14,$285K,-18.40%,5.50%,10,0.00%,-16.70%,5,0.00%,-44.40%,49,-9.30%,-16.90%,69,-52,-134,,,
"Sublette County, WY",Jan-15,$244K,-14.40%,32.00%,5,-50.00%,-16.70%,9,80.00%,80.00%,54,10.20%,-6.90%,241,172,147,,,
"Sublette County, WY",Feb-15,$147K,-39.80%,-23.80%,1,-80.00%,-87.50%,2,-77.80%,-83.30%,54,0.00%,-12.90%,186,-55,96,,,
"Sublette County, WY",Mar-15,$290K,96.90%,25.90%,9,800.00%,12.50%,10,400.00%,25.00%,54,0.00%,-8.50%,188,2,21,93.10%,,
"Sublette County, WY",Apr-15,$240K,-17.10%,52.40%,7,-22.20%,-30.00%,5,-50.00%,-44.40%,53,-1.90%,-8.60%,105,-83,-106,,,
"Sublette County, WY",May-15,$240K,0.00%,35.60%,11,57.10%,-21.40%,13,160.00%,-13.30%,53,0.00%,-8.60%,175,70,10,,,
"Sublette County, WY",Jun-15,$315K,31.30%,26.30%,5,-54.50%,-64.30%,19,46.20%,58.30%,64,20.80%,12.30%,235,60,110,,,
"Sublette County, WY",Jul-15,$284K,-9.70%,68.40%,14,180.00%,100.00%,14,-26.30%,40.00%,68,6.30%,19.30%,284,49,78,,,
"Sublette County, WY",Aug-15,$285K,0.20%,3.80%,15,7.10%,50.00%,12,-14.30%,71.40%,62,-8.80%,12.70%,60,-224,-115,96.70%,,
"Sublette County, WY",Sep-15,$249K,-12.50%,47.60%,14,-6.70%,40.00%,4,-66.70%,-55.60%,54,-12.90%,-5.30%,156,96,29,,,
"Sublette County, WY",Oct-15,$199K,-20.20%,-5.20%,14,0.00%,27.30%,4,0.00%,-73.30%,46,-14.80%,-23.30%,98,-58,-51,,,
"Sublette County, WY",Nov-15,$200K,0.50%,-42.70%,7,-50.00%,-30.00%,1,-75.00%,-80.00%,38,-17.40%,-29.60%,122,24,1,100.00%,,
"Sublette County, WY",Dec-15,$155K,-22.50%,-45.60%,5,-28.60%,-50.00%,5,400.00%,0.00%,37,-2.60%,-24.50%,337,215,268,,,
"Sublette County, WY",Jan-16,$259K,67.10%,6.10%,3,-40.00%,-40.00%,8,60.00%,-11.10%,41,10.80%,-24.10%,218,-119,-23,,,
"Sublette County, WY",Feb-16,$255K,-1.40%,73.60%,2,-33.30%,100.00%,7,-12.50%,250.00%,46,12.20%,-14.80%,571,353,385,,,
"Sublette County, WY",Mar-16,$165K,-35.40%,-43.00%,3,50.00%,-66.70%,8,14.30%,-20.00%,48,4.30%,-11.10%,220,-351,32,,,
"Sublette County, WY",Apr-16,$305K,84.80%,27.10%,7,133.30%,0.00%,15,87.50%,200.00%,59,22.90%,11.30%,309,89,204,,,
"Sublette County, WY",May-16,$251K,-17.70%,4.60%,10,42.90%,-9.10%,9,-40.00%,-30.80%,56,-5.10%,5.70%,120,-189,-55,74.40%,,
